scenario_id,detector_id,time_s,background_counts,threshold_3sigma_counts,threshold_5sigma_counts,threshold_crossing_3sigma,threshold_crossing_5sigma
S1,D011,333.333333,7359.6054389554465,7454.55,7624.25,False,False
S1,D011,360.0,7220.144168149094,7454.55,7624.25,False,False
S1,D011,420.0,7147.181379487107,7454.55,7624.25,False,False
S1,D011,480.0,7368.720497565853,7454.55,7624.25,False,False
S1,D011,500.0,6988.025172747823,7454.55,7624.25,False,False
S1,D011,540.0,7264.430921976275,7454.55,7624.25,False,False
S1,D011,600.0,7196.11739230095,7454.55,7624.25,False,False
S1,D011,660.0,7088.3575464077585,7454.55,7624.25,False,False
S1,D011,666.666667,7125.168000228015,7454.55,7624.25,False,False
S1,D011,720.0,7237.958637251901,7454.55,7624.25,False,False
S1,D011,780.0,7195.990548047369,7454.55,7624.25,False,False
S1,D011,833.333333,7324.353601919541,7454.55,7624.25,False,False
S1,D011,840.0,7182.63708955562,7454.55,7624.25,False,False
S1,D011,900.0,7335.526423739933,7454.55,7624.25,False,False
S1,D011,960.0,7190.102555671195,7454.55,7624.25,False,False
S1,D011,1000.0,7127.4777487317715,7454.55,7624.25,False,False
S1,D011,1020.0,7204.505779946146,7454.55,7624.25,False,False
S1,D011,1080.0,7167.168988108185,7454.55,7624.25,False,False
S1,D011,1140.0,7220.087236261402,7454.55,7624.25,False,False
S1,D011,1166.666667,7174.586132903895,7454.55,7624.25,False,False
S1,D011,1200.0,7142.854995161606,7454.55,7624.25,False,False
S1,D012,0.0,7165.5554071936285,7454.55,7624.25,False,False
S1,D012,60.0,7189.402482085167,7454.55,7624.25,False,False
S1,D012,120.0,7335.63173025486,7454.55,7624.25,False,False
S1,D012,166.666667,6999.122284785798,7454.55,7624.25,False,False
S1,D012,180.0,6983.97333240383,7454.55,7624.25,False,False
S1,D012,240.0,7245.469963018789,7454.55,7624.25,False,False
S1,D012,250.0,7066.572715366823,7454.55,7624.25,False,False
S1,D012,300.0,7203.0042226177075,7454.55,7624.25,False,False
S1,D012,333.333333,7367.618612071211,7454.55,7624.25,False,False
S1,D012,360.0,7115.6180757273105,7454.55,7624.25,False,False
S1,D012,420.0,7414.334131236905,7454.55,7624.25,False,False
S1,D012,480.0,7085.537103690916,7454.55,7624.25,False,False
S1,D012,500.0,7254.928127482106,7454.55,7624.25,False,False
S1,D012,540.0,7178.805472213552,7454.55,7624.25,False,False
S1,D012,600.0,7210.898116631058,7454.55,7624.25,False,False
S1,D012,660.0,7102.914798813594,7454.55,7624.25,False,False
S1,D012,666.666667,7294.938290749121,7454.55,7624.25,False,False
S1,D012,720.0,7067.676850468116,7454.55,7624.25,False,False
S1,D012,780.0,7188.316847924398,7454.55,7624.25,False,False
S1,D012,833.333333,7130.594511304228,7454.55,7624.25,False,False
S1,D012,840.0,7291.930354101472,7454.55,7624.25,False,False
S1,D012,900.0,7100.877069387348,7454.55,7624.25,False,False
S1,D012,960.0,7224.739889096588,7454.55,7624.25,False,False
S1,D012,1000.0,7127.121317838829,7454.55,7624.25,False,False
S1,D012,1020.0,7267.7536449882855,7454.55,7624.25,False,False
S1,D012,1080.0,7156.941563728064,7454.55,7624.25,False,False
S1,D012,1140.0,7356.437023503192,7454.55,7624.25,False,False
S1,D012,1166.666667,7171.201950650727,7454.55,7624.25,False,False
S1,D012,1200.0,7168.624505015037,7454.55,7624.25,False,False
S1,D013,0.0,7258.74600364065,7454.55,7624.25,False,False
S1,D013,60.0,7115.863007582714,7454.55,7624.25,False,False
S1,D013,120.0,7158.370351025053,7454.55,7624.25,False,False
S1,D013,166.666667,7342.562964178126,7454.55,7624.25,False,False
S1,D013,180.0,7243.603652181843,7454.55,7624.25,False,False
S1,D013,240.0,7306.316296881282,7454.55,7624.25,False,False
S1,D013,250.0,7227.190015120418,7454.55,7624.25,False,False
S1,D013,300.0,7313.603115053231,7454.55,7624.25,False,False
S1,D013,333.333333,7220.611026092837,7454.55,7624.25,False,False
S1,D013,360.0,7125.161746713227,7454.55,7624.25,False,False
S1,D013,420.0,7054.747580203407,7454.55,7624.25,False,False
S1,D013,480.0,7107.290996155481,7454.55,7624.25,False,False
S1,D013,500.0,7086.373915477579,7454.55,7624.25,False,False
S1,D013,540.0,7082.792320302961,7454.55,7624.25,False,False
S1,D013,600.0,7118.604693138986,7454.55,7624.25,False,False
S1,D013,660.0,7121.569135613376,7454.55,7624.25,False,False
S1,D013,666.666667,7090.977748534506,7454.55,7624.25,False,False
S1,D013,720.0,7086.023424321045,7454.55,7624.25,False,False
S1,D013,780.0,7313.0777054781265,7454.55,7624.25,False,False
S1,D013,833.333333,7291.761639691789,7454.55,7624.25,False,False
S1,D013,840.0,7183.4947706758185,7454.55,7624.25,False,False
S1,D013,900.0,7293.679380040357,7454.55,7624.25,False,False
S1,D013,960.0,7153.177365479688,7454.55,7624.25,False,False
S1,D013,1000.0,7143.13926791633,7454.55,7624.25,False,False
S1,D013,1020.0,7109.338547153429,7454.55,7624.25,False,False
S1,D013,1080.0,7364.351773963921,7454.55,7624.25,False,False
S1,D013,1140.0,7200.640664698455,7454.55,7624.25,False,False
