candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description,relative_likelihood,normalized_likelihood
CS_00167,-150.0,450.0,27.93411204136494,102.21225786557196,synthetic inverse modeling grid point,6.410226700523571e-22,4.2279764350856997e-22
CS_00168,-150.0,500.0,176.08497231252394,100.25703483540339,synthetic inverse modeling grid point,1.703902245494147e-21,1.1238383411698143e-21
CS_00169,-100.0,-500.0,325.37379062262744,87.91026224990284,synthetic inverse modeling grid point,8.175461484193881e-19,5.392267717817102e-19
CS_00170,-100.0,-450.0,43.88412591705491,91.02463478847915,synthetic inverse modeling grid point,1.7228000385390116e-19,1.1363027090309835e-19
CS_00171,-100.0,-400.0,8.642273604932653,92.05849185923628,synthetic inverse modeling grid point,1.0273907761861973e-19,6.776334432891211e-20
CS_00172,-100.0,-350.0,2.454297611674594,92.43059772052831,synthetic inverse modeling grid point,8.529702837323592e-20,5.625913759265677e-20
CS_00173,-100.0,-300.0,1.000562031305245,92.54361222087861,synthetic inverse modeling grid point,8.061077829819701e-20,5.316823990497206e-20
CS_00174,-100.0,-250.0,0.5849324531582912,92.48924930801078,synthetic inverse modeling grid point,8.283194720542902e-20,5.463325046339037e-20
CS_00175,-100.0,-200.0,0.4908932585587644,92.18001903984343,synthetic inverse modeling grid point,9.668216575665769e-20,6.376840283648798e-20
CS_00176,-100.0,-150.0,0.5947818309283066,91.14178336453563,synthetic inverse modeling grid point,1.6247868022183807e-19,1.0716563754689791e-19
CS_00177,-100.0,-100.0,1.0652864082845104,87.15780025634693,synthetic inverse modeling grid point,1.19098782716886e-18,7.855367217094797e-19
CS_00178,-100.0,-50.0,3.07828125242844,66.70942688935672,synthetic inverse modeling grid point,3.2825789580863836e-14,2.1650820055964363e-14
CS_00179,-100.0,0.0,8.951096614007426,7.8217017628135395,synthetic inverse modeling grid point,0.20115101039911945,0.13267264507067933
CS_00180,-100.0,50.0,2.7515674429350283,79.72294712449171,synthetic inverse modeling grid point,4.901908124966758e-17,3.2331387028202615e-17
CS_00181,-100.0,100.0,0.9172322586640609,98.61417124150718,synthetic inverse modeling grid point,3.874252945812597e-21,2.5553308679580896e-21
CS_00182,-100.0,150.0,0.50770513634012,102.08058565419871,synthetic inverse modeling grid point,6.846453237880139e-22,4.515697229757745e-22
CS_00183,-100.0,200.0,0.4180513169742796,102.97003468631951,synthetic inverse modeling grid point,4.388582256970519e-22,2.894565704578133e-22
