run_name,sample_id,localization_error_m
final,410,46.27739074289883
final,411,18.241265696892253
final,412,71.56695430482719
final,413,49.49055131154866
final,414,37.96745516693534
final,415,5.540957626134027
final,416,18.660824077295004
final,417,19.884521337402102
final,418,71.59966146488603
final,419,59.72676522625885
final,420,57.59208817351127
final,421,17.591858544034963
final,422,30.763697100186437
final,423,85.76460586355988
final,424,36.28443592293303
final,425,32.28377302844371
final,426,33.854405948615934
final,427,100.10106652348875
final,428,52.6648572007379
final,429,72.4433633083166
final,430,51.95476331645286
final,431,55.079659912109705
final,432,58.60784703771311
final,433,76.00800688360673
final,434,76.35757862255501
final,435,30.93181315400319
final,436,27.147329978331612
final,437,97.39265860825357
final,438,46.212912538124534
final,439,22.643328338884537
final,440,19.928528592726366
final,441,54.093743856068585
final,442,42.306295905703976
final,443,1.1130847251339575
final,444,36.10060184345467
final,445,33.53715089417612
final,446,75.26428832094186
final,447,26.80785684108676
final,448,10.21654946902841
final,449,3.341109515993934
final,450,67.53540932171288
final,451,33.63997237146317
final,452,39.478390892423675
final,453,36.49244177002799
final,454,56.46059673022174
final,455,36.962559454972684
final,456,103.96730069829515
final,457,87.3172210796894
final,458,74.32442956448516
final,459,41.252861874298915
final,460,41.51240167887813
final,461,70.7275744976898
final,462,107.3164996770526
final,463,130.25523657685793
final,464,108.73034470792605
final,465,25.25618550561462
final,466,38.44510362810245
final,467,46.74859415394429
final,468,25.082807722137865
final,469,25.895455716194967
final,470,39.2494780737735
final,471,59.62651546897865
final,472,6.6514190406959965
final,473,72.87175512388954
final,474,101.06972242893637
final,475,39.9007829409818
final,476,30.934786644440535
final,477,61.850401184243715
final,478,13.41194743629219
final,479,56.64701884671257
final,480,63.947114214002255
final,481,10.503263595311584
final,482,74.69440917427515
final,483,83.0979123804479
final,484,31.83904430261697
final,485,45.175380517359216
final,486,81.23362786165804
final,487,37.540992313998146
final,488,67.77123073390868
final,489,34.834788823148
final,490,30.985015438290347
final,491,62.81533372218176
final,492,86.37364716667723
final,493,33.24926874830545
final,494,9.847344334763214
final,495,21.41385355697489
final,496,26.86349854337895
final,497,43.29301673053498
final,498,55.2969092640637
final,499,24.041879966427086
final,500,42.174549099430735
final,501,135.51910913994482
final,502,46.14719991674711
final,503,71.29397259363674
final,504,95.34099173679084
final,505,108.36051736265829
final,506,53.12168532337411
final,507,77.2373820373426
final,508,64.24918206554409
final,509,19.36450541490867
final,510,53.066875593776444
final,511,68.38329843283458
final,512,20.803791733195816
final,513,44.314786144222396
final,514,34.25327516009234
final,515,160.39586978902798
final,516,42.114405892702315
final,517,11.846412931619984
final,518,30.16129273726216
final,519,87.69484344059138
final,520,95.75459129549611
final,521,17.22647222725288
final,522,21.271056095751987
final,523,100.18651158479788
final,524,109.21327846437812
final,525,47.410609273832726
final,526,28.485114817045446
final,527,52.925508469409365
final,528,52.290143017503155
final,529,28.00255588401683
final,530,41.00233662287121
final,531,35.366218326863255
final,532,41.973105053973114
final,533,101.52177006825777
final,534,61.7083020606443
final,535,36.537073876199884
final,536,11.948152136331261
final,537,23.451773428058832
final,538,33.143399313267054
final,539,81.96440662965213
final,540,25.617684276057858
final,541,13.02637168832807
final,542,8.271359229693163
final,543,72.3442325594599
final,544,49.21584229079471
final,545,24.051579289667778
final,546,35.88249952724255
final,547,74.66509811049758
final,548,69.73027110988114
final,549,9.294574874617602
final,550,21.287150115930785
final,551,40.35698528903195
final,552,28.28192032373984
final,553,19.550081067059168
final,554,20.76684391204576
final,555,20.306426631042374
final,556,11.459141222043712
final,557,45.48403407475951
final,558,23.88081409898992
final,559,37.32421582425273
final,560,40.827259434442304
final,561,33.88173560946123
final,562,90.64618990266108
final,563,18.440066074790337
final,564,114.13252219041058
final,565,54.74863138930999
final,566,9.046053975230555
final,567,47.96990097073164
final,568,35.999696941190685
final,569,17.36017255292314
final,570,83.25627445210891
final,571,52.338386248298235
final,572,79.0592019259315
final,573,59.154386459754136
final,574,104.86834409632961
final,575,89.56326913824378
final,576,25.80863159328697
final,577,32.97745649407861
final,578,38.60361124920301
final,579,41.60884748068871
final,580,40.02187631487999
final,581,39.16846440432244
final,582,39.99738358337015
final,583,63.943697037796994
final,584,17.465339202268318
final,585,79.88327225223429
final,586,41.801221952087445
final,587,17.845978311317367
final,588,75.88727869004194
final,589,30.15764699627715
final,590,63.418296469797454
final,591,32.72088517182376
final,592,122.36914404025644
final,593,84.71387566283494
final,594,13.259944419784599
final,595,65.48847645067123
final,596,21.078238682122876
