candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description
CS_00229,0.0,400.0,11.166886873441525,102.70487779680425,synthetic inverse modeling grid point
CS_00230,0.0,450.0,79.20142150550875,101.11163052215011,synthetic inverse modeling grid point
CS_00231,0.0,500.0,902.1013072852801,95.1897181352191,synthetic inverse modeling grid point
CS_00232,50.0,-500.0,2134.7467589583134,79.2909039723015,synthetic inverse modeling grid point
CS_00233,50.0,-450.0,149.3043101450855,89.0666086630113,synthetic inverse modeling grid point
CS_00234,50.0,-400.0,17.183113677808635,91.7030275757777,synthetic inverse modeling grid point
CS_00235,50.0,-350.0,3.2421322335362412,92.42526971977455,synthetic inverse modeling grid point
CS_00236,50.0,-300.0,0.9887443068948555,92.63816749272368,synthetic inverse modeling grid point
CS_00237,50.0,-250.0,0.485611372496432,92.64700377955194,synthetic inverse modeling grid point
CS_00238,50.0,-200.0,0.38417491097629214,92.43748372868247,synthetic inverse modeling grid point
CS_00239,50.0,-150.0,0.4922888258846369,91.55437168619528,synthetic inverse modeling grid point
CS_00240,50.0,-100.0,1.0521471950478636,87.28978841493034,synthetic inverse modeling grid point
CS_00241,50.0,-50.0,4.179777333157377,58.967646071369444,synthetic inverse modeling grid point
CS_00242,50.0,0.0,10.059649454106218,17.551326280088514,synthetic inverse modeling grid point
CS_00243,50.0,50.0,3.7576409333407734,72.86931880383693,synthetic inverse modeling grid point
CS_00244,50.0,100.0,0.9053350481806396,98.75422531503945,synthetic inverse modeling grid point
CS_00245,50.0,150.0,0.41982585236526043,102.43533366434028,synthetic inverse modeling grid point
CS_00246,50.0,200.0,0.3269775941667629,103.18977642841979,synthetic inverse modeling grid point
CS_00247,50.0,250.0,0.4131146346821968,103.36837027138029,synthetic inverse modeling grid point
CS_00248,50.0,300.0,0.8411522302266856,103.36082750132064,synthetic inverse modeling grid point
CS_00249,50.0,350.0,2.7595150596014952,103.17922960130721,synthetic inverse modeling grid point
CS_00250,50.0,400.0,14.649316020072039,102.5612429304547,synthetic inverse modeling grid point
CS_00251,50.0,450.0,128.04340448501932,100.27834175359177,synthetic inverse modeling grid point
CS_00252,50.0,500.0,1874.1754464279127,91.2474037665861,synthetic inverse modeling grid point
CS_00253,100.0,-500.0,4643.631780243218,75.29349666071913,synthetic inverse modeling grid point
CS_00254,100.0,-450.0,264.4217367845854,87.47319392483108,synthetic inverse modeling grid point
CS_00255,100.0,-400.0,23.8223892992501,91.44615467731252,synthetic inverse modeling grid point
CS_00256,100.0,-350.0,3.7403014825939493,92.40119755973961,synthetic inverse modeling grid point
CS_00257,100.0,-300.0,1.0017192507849502,92.66295914348579,synthetic inverse modeling grid point
CS_00258,100.0,-250.0,0.4551456357568352,92.69218180179223,synthetic inverse modeling grid point
CS_00259,100.0,-200.0,0.3507520901084316,92.51224989722724,synthetic inverse modeling grid point
CS_00260,100.0,-150.0,0.4609410676469812,91.68252120247861,synthetic inverse modeling grid point
CS_00261,100.0,-100.0,1.0670310757650252,87.21389265068628,synthetic inverse modeling grid point
CS_00262,100.0,-50.0,4.864202765016948,54.26444701188652,synthetic inverse modeling grid point
CS_00263,100.0,0.0,8.800581581805028,34.927299793890036,synthetic inverse modeling grid point
CS_00264,100.0,50.0,4.395060051078114,68.43551280910086,synthetic inverse modeling grid point
CS_00265,100.0,100.0,0.9182516873378079,98.69021263867728,synthetic inverse modeling grid point
CS_00266,100.0,150.0,0.3929806562319272,102.54496917643635,synthetic inverse modeling grid point
CS_00267,100.0,200.0,0.29848013746141444,103.25352544407623,synthetic inverse modeling grid point
CS_00268,100.0,250.0,0.3871570966976424,103.40686409340566,synthetic inverse modeling grid point
CS_00269,100.0,300.0,0.8521420131832474,103.38195633209094,synthetic inverse modeling grid point
CS_00270,100.0,350.0,3.183702862691227,103.15868024455257,synthetic inverse modeling grid point
CS_00271,100.0,400.0,20.32138313251877,102.34071540515889,synthetic inverse modeling grid point
CS_00272,100.0,450.0,227.57546173451573,98.87570293828577,synthetic inverse modeling grid point
CS_00273,100.0,500.0,4149.605846199831,86.6069366449622,synthetic inverse modeling grid point
CS_00274,150.0,-500.0,8924.062498040023,79.65337765353293,synthetic inverse modeling grid point
CS_00275,150.0,-450.0,526.0228776678198,84.70048792811971,synthetic inverse modeling grid point
CS_00276,150.0,-400.0,35.42339382914833,91.03617026904294,synthetic inverse modeling grid point
CS_00277,150.0,-350.0,4.474057664851076,92.35779748886723,synthetic inverse modeling grid point
CS_00278,150.0,-300.0,1.0280283783454327,92.68390812179463,synthetic inverse modeling grid point
CS_00279,150.0,-250.0,0.42617002131453796,92.73404133916095,synthetic inverse modeling grid point
CS_00280,150.0,-200.0,0.31845480654904845,92.58123620422742,synthetic inverse modeling grid point
CS_00281,150.0,-150.0,0.43117162934748066,91.80525600090805,synthetic inverse modeling grid point
CS_00282,150.0,-100.0,1.0969701095266058,87.0615299669723,synthetic inverse modeling grid point
CS_00283,150.0,-50.0,5.8115996239599985,48.38219877957121,synthetic inverse modeling grid point
CS_00284,150.0,0.0,7.000739038553543,54.25623867525788,synthetic inverse modeling grid point
CS_00285,150.0,50.0,5.288060767798426,62.67468564090886,synthetic inverse modeling grid point
CS_00286,150.0,100.0,0.9442943137223324,98.55800595530286,synthetic inverse modeling grid point
CS_00287,150.0,150.0,0.36750024979080087,102.6498766370412,synthetic inverse modeling grid point
